Day;Hour;Price (Kč/MWh)
02.02.2024;11;2 043,48
02.02.2024;12;1 883,78
02.02.2024;13;1 678,81
02.02.2024;14;1 747,47
02.02.2024;15;2 132,04
02.02.2024;16;2 751,42
02.02.2024;17;2 736,25
02.02.2024;18;2 736,25
02.02.2024;19;2 578,29
02.02.2024;20;2 736,25
02.02.2024;21;2 611,88
02.02.2024;22;2 139,25
02.02.2024;23;1 778,81
02.02.2024;24;1 716,62
03.02.2024;1;1 616,88
03.02.2024;2;1 616,88
03.02.2024;3;1 741,25
03.02.2024;4;1 741,25
03.02.2024;5;1 741,25
03.02.2024;6;1 865,63
03.02.2024;7;2 114,38
03.02.2024;8;2 736,25
03.02.2024;9;2 114,87
03.02.2024;10;1 741,25
03.02.2024;11;1 567,13
03.02.2024;12;1 335,79
03.02.2024;13;1 192,76
03.02.2024;14;1 161,41
03.02.2024;15;1 153,21
03.02.2024;16;1 741,25
03.02.2024;17;1 932,79
03.02.2024;18;2 114,38
03.02.2024;19;2 025,57
03.02.2024;20;2 150,44
03.02.2024;21;2 345,71
03.02.2024;22;1 865,63
03.02.2024;23;1 616,88
03.02.2024;24;1 484,04
04.02.2024;1;920,13
04.02.2024;2;809,93
04.02.2024;3;1 178,58
04.02.2024;4;448,5
04.02.2024;5;296,76
04.02.2024;6;1 101,22
04.02.2024;7;1 236,54
04.02.2024;8;1 791,00
04.02.2024;9;1 616,13
04.02.2024;10;1 494,49
04.02.2024;11;1 046,99
04.02.2024;12;855,7
04.02.2024;13;584,07
04.02.2024;14;492,77
04.02.2024;15;770,38
04.02.2024;16;1 397,98
04.02.2024;17;2 363,13
04.02.2024;18;2 569,34
04.02.2024;19;2 358,40
04.02.2024;20;2 851,92
04.02.2024;21;2 893,21
04.02.2024;22;2 114,38
04.02.2024;23;1 922,59
04.02.2024;24;1 840,25
05.02.2024;1;1 469,29
05.02.2024;2;1 426,29
05.02.2024;3;854,42
05.02.2024;4;459,84
05.02.2024;5;289,06
05.02.2024;6;1 875,38
05.02.2024;7;3 000,60
05.02.2024;8;3 961,79
05.02.2024;9;2 833,07
05.02.2024;10;1 875,38
05.02.2024;11;1 424,79
05.02.2024;12;1 133,73
05.02.2024;13;677,64
05.02.2024;14;542,11
05.02.2024;15;1 429,54
05.02.2024;16;1 813,61
05.02.2024;17;2 125,43
05.02.2024;18;2 319,46
05.02.2024;19;2 338,22
05.02.2024;20;2 192,44
05.02.2024;21;2 125,43
05.02.2024;22;1 802,36
05.02.2024;23;1 566,81
05.02.2024;24;1 331,77
06.02.2024;1;1 321,27
06.02.2024;2;1 321,27
06.02.2024;3;789,87
06.02.2024;4;1 084,49
06.02.2024;5;1 371,12
06.02.2024;6;1 538,12
06.02.2024;7;2 344,70
06.02.2024;8;2 704,61
06.02.2024;9;2 243,25
06.02.2024;10;1 744,75
06.02.2024;11;1 493,76
06.02.2024;12;1 327,76
06.02.2024;13;1 114,65
06.02.2024;14;1 085,48
06.02.2024;15;1 444,65
06.02.2024;16;1 793,60
06.02.2024;17;1 945,40
06.02.2024;18;2 275,40
06.02.2024;19;2 122,36
06.02.2024;20;2 166,23
06.02.2024;21;2 058,31
06.02.2024;22;1 869,38
06.02.2024;23;1 497,49
06.02.2024;24;1 325,76
07.02.2024;1;1 126,10
07.02.2024;2;1 017,94
07.02.2024;3;993,21
07.02.2024;4;1 197,79
07.02.2024;5;1 348,42
07.02.2024;6;1 475,82
07.02.2024;7;1 887,24
07.02.2024;8;2 155,77
07.02.2024;9;2 174,76
07.02.2024;10;2 117,80
07.02.2024;11;2 000,65
07.02.2024;12;1 923,46
07.02.2024;13;1 883,74
07.02.2024;14;1 949,44
07.02.2024;15;1 928,96
07.02.2024;16;2 162,02
07.02.2024;17;2 378,60
07.02.2024;18;2 905,17
07.02.2024;19;3 314,10
07.02.2024;20;2 710,83
07.02.2024;21;2 465,03
07.02.2024;22;2 210,73
07.02.2024;23;2 101,57
